	G	S	M	N	Y	B	C	F	H	X
all	鹹	通	完	都	下	整	下	下	全	全
ash	灰	灰	灰	灰	灰	灰	灰	灰	灰	灰
bark	樹皮	樹皮	樹皮	樹皮	樹皮	樹皮	樹皮	樹皮	樹皮	樹皮
belly	肚	肚	肚	肚	肚	肚	肚	肚	肚	腹肚
big	大	大	大	大	大	大	大	大	A	大
bird	雀/鳥	鳥	鳥	鳥	雀	鳥	鳥	鳥	鳥	A
bite	咬	咬	咬/齧	咬	咬	咬	咬	咬	咬	咬
black	黑	黑	烏	烏/青/黑	黑	黑	黑/青	黑/青	黑	烏
blood	血	血	血	血	血	血	血	血	血	血
bone	骨	骨	骨	骨	骨	骨	骨	骨	骨	骨
breasts	A	奶	奶	奶	媽	咂/媽	奶	奶	奶	奶
burn	燒	燒	燒	燒	燒	燒/著	燒	燒	燒	燒/熱
claw	爪	腳爪	腳爪	爪/腳爪	爪	爪	爪	爪	腳爪	爪
cloud	雲	雲	雲	雲	雲	雲	雲	雲	雲	雲
cold	凍/冷	冷	冷	冷	冷	冷	冷/清	冷/清	冷	冷/寒
come	來/嚟	來	來	來	來	來	來	來	來	來
die	死	死	死	死	死	死	死	死	死	死
dog	狗	狗	狗	狗	狗	狗	狗	狗	狗	狗
drink	飲	吃	食	吃	喝	喝	吃	吃/呵	吃	啉/啜
dry	幹	幹/燥	A	幹	幹	幹	幹	幹/A	幹	焦
ear	耳	耳	耳	耳	耳	耳	耳	耳	耳	耳
earth	地	地	地	地	地	地	地	地	地	地
eat	吃	吃	食	吃	吃	吃	吃	吃	吃	食
egg	春	蛋	卵	蛋	蛋	雞子/蛋	蛋	蛋	蛋	卵
eye	眼	眼	目	眼	眼	眼	眼	眼	眼	目瞅
feather	毛羽毛	毛	毛	毛	毛	毛	毛	毛	毛	目瞅
fire	火	火	火	火	火	火	火	火	火	火
fish	魚	魚	魚	魚	魚	魚	魚	魚	魚	魚
flesh	肉	肉	肉	肉	肉	肉	肉	肉	肉	A
fly	飛	飛	飛	飛	飛	飛	飛	飛	飛	飛
foot	腳	腳	腳	腳	腳	腳	腳	腳	腳	骹
full	滿	滿	滿	滿	滿	滿	滿	滿	滿	A
give	畀	撥	分	把/給	把	給	把	B	撥	A
good	好/A	好/美/贊	好/A	好	好	好/強	好	好	好/靈光	好
grease	油/膏	油	油	油	油/膘	大油/葷油	油	油	油	油
green	綠	綠	青	綠	綠	綠	綠	綠	綠	青
hair	頭髮	頭髮	頭顱毛	頭髮	頭髮	頭髮	頭髮	頭髮	頭髮	頭毛
hand	手	手	手	手	手	手	手	手	手	手
head	頭	頭	頭顱	頭	腦	腦	腦	腦	頭	頭
hear	聽	聽	聽	聽	聽	聽	聽	聽	聽	聽
heart	心	心	心	心	心	心	心	心	心	心
horn	角	角	角	角	角	角	角	角	角	角
hot	熱/慶	熱	燒	熱	熱	熱	熱	熱	熱	熱/燒
I	我	我	我	我	我	我	我	我/卬	我	我
kill	殺	殺	殺	殺	殺	殺	殺	殺	殺	殺
knee	膝	膝饅頭/腳饅頭	膝	舌頭蓋	膝	膊楞蓋兒	膝	膝	腳饅頭	骹頭A
know	知	曉	知	曉	曉	知	曉	曉	曉	知
leaf	葉	葉	葉	葉	葉	葉	葉	葉	葉	箬
lie	睏	睏/A	眠	睏	睡	躺	困	睏	睏	倒
liver	肝	肝	肝	肝	肝	肝	肝	肝	肝	肝
long	長	長	長	長	長	長	長	長	長	長
louse	虱	虱	虱	虱	虱	虱	虱	虱	虱	虱
man	男人/佬	男/男子客	男子人	男個	男的/男將	男的/爺們	男的/男人家男人家	男人	A夫/A夫儂	
many	多	多/交關	多	多	多	多	多	多	多	A
moon	月	月	月	月	月	月	月	月	月	月
mountain	山	山	山	山	山	山	山	山	山	山
mouth	嘴/口	嘴	啜	嘴	嘰	嘴	嘴	嘴	嘴	喙
name	名	名	名	名	名	名	名	名	名	名
neck	頸	頸/頭根	頸	頸	頸	脖	頸	頸	頸	頷管
new	新	新	新	新	新	新	新	新	新	新
night	夜晚/晚黑	夜	夜	夜	黒	夜/黑	夜	夜	夜	下昏時/冥時/暗時
nose	鼻	鼻	鼻	鼻	鼻	鼻	鼻	鼻	鼻	鼻
not	唔/冇	勿	唔	不	不	不	不	不	勿	勿會/無
one	一	一	一	一	一	一	一	一	一	一
path	路	路	路	路	路	道/路	路	路	路	路
person	人	人	人	人	人	人	人	人	人	人
rain	雨	雨	雨	雨	雨	雨	雨	雨	雨	雨
red	紅	紅	紅/赤	紅	紅	紅	紅	紅	紅	紅
root	根/蔃	根	根	根	根	根	根/篼	根/蔸	根	根
round	圓	圓	圓	圓	團	圓	圓	欒	圓	圓
sand	沙	沙	沙	沙	沙	沙	沙	沙	沙	沙
say	講/話	說/講	講/話	話	說	說	講	話/講	講	講
see	睇	看/望	看	看/望/妻*	看	看/瞧/瞅/A	看	看/相	看	看
seed	種	種	種	籽	種	種	種	種	種	種/籽
sit	坐	坐	坐	坐	坐	坐	坐	坐	坐	坐
skin	皮	皮膚	皮	皮	皮	皮	皮	皮	皮	皮
sleep	睏	睏	睡	睏	睡	睡	困	睏	睏	睏
small	細	小	細	小/細	小	小	細/小	細	小	細/小
smoke	煙	煙	煙	煙	煙	煙	煙	煙	煙	薰
stand	徛	立	徛	徛/站	站	站/戳	站/企	徛	立	徛
star	星	星	星	星	星	星	星	星	星	星
stone	石	石	石	石	石	石	石	石	石	石
sun	頭	太陽	日	日	日	太陽	太陽/日	日/太陽	太陽	日
swim	游水	游水	泅水/洗身	玩水/洗澡	抹汗	鳧水/游泳	洗冷水澡/游泳	洗冷水澡	游泳	泅水
tail	尾	尾	尾	尾	尾	尾	尾	尾	尾	尾
that	個個	歸個/A個	B個	C	那	那個	那個/那只	喏只	伊	許
this	爾個	該個/哀個/A個	B個	C	D	這個	F個	咯只	G	即
tongue	脷	舌	舌/利	舌	舌	舌	舌	舌	舌頭	舌
tooth	牙齒	牙齒	牙齒	牙齒	牙齒	牙	牙齒	牙齒	牙	喙齒
tree	樹	樹	樹	樹	樹	樹	樹	樹	樹	樹
two	二	二	二	二	二	二	二	二	兩/二	二
walk	行	走/跑	行	走	走	走	走	行	走	行
water	水	水	水	水	水	水	水	水	水	水
we	我哋	伲	我兜人	我裏/我們	我們	我們	我們	我哩/卬哩	我A/阿拉	阮
what	乜	啥	A	什	麼	什麼	麼	麼	啥B事體	什物
white	白	白	白	白	白	白	白	白	白	白
who	邊個	啥人/A格	瞞人	哪個	哪個/啥個	誰	哪個	哪個	啥人	啥人/AB
woman	女人/婆乸	女A	婦人家	女個	女的/女將	女的/娘們	女的/女人家/堂客	女人家/堂客們	女人	查某/女的
yellow	黃	黃	黃	黃	黃	黃	黃	黃	黃	黃
you	爾	汝	爾	爾	爾	爾	爾	爾	儂	爾
