	Suzhou	Wenzhou	Guangzhou	Xiamen	Fuzhou	Chaozhou	Meixian	Nanchang	Changsha	Taiyuan	Beijing	Jinan	Hankou	Chengdu	Xi_an
Suzhou	9.96	2.54	.13	.63	.04	.58	.17	.38	.54	.42	1.50	.92	.04	1.13	1.42
Wenzhou	.92	9.17	.29	.38	.00	.04	.29	.63	1.08	.33	2.25	.67	.04	.92	.38
Guangzhou	.00	.41	10.00	.83	.17	.58	5.52	.67	1.04	.00	.63	.38	.08	.29	1.00
Xiamen	.00	.75	.50	8.96	.17	5.13	.17	.25	.50	.38	.92	.13	.04	.04	.13
Fuzhou	.04	1.00	.25	.30	10.00	.71	.25	.00	.35	.00	.50	.21	.00	.17	.79
Chaozhou	.00	.38	.33	3.96	.38	10.00	.17	.00	.13	.25	.25	.42	.00	.13	.46
Meixian	.08	.63	.08	1.29	.29	1.25	9.13	.75	.50	.38	.92	.58	.13	.33	.33
Nanchang	.79	2.83	.46	1.08	.00	.50	.58	9.92	2.82	.88	1.71	2.46	.13	2.00	1.46
Changsha	1.25	.38	.25	1.38	.00	.25	.50	4.67	10.00	1.38	4.46	3.92	2.25	4.13	3.33
Taiyuan	.21	1.29	.38	.65	.00	.08	.58	1.29	2.17	10.00	2.29	3.92	.83	4.42	3.83
Beijing	.21	2.00	.29	5.38	.08	.29	1.71	5.00	7.83	4.08	8.96	8.04	4.58	6.38	7.71
Jinan	.29	.21	.29	2.50	.00	.25	.54	5.42	4.58	2.50	5.57	9.96	1.67	5.83	6.38
Hankou	.38	.42	.13	1.33	.00	.58	.54	3.58	5.04	1.58	4.43	5.92	10.00	5.96	5.38
Chengdu	.38	1.33	.33	.88	.04	.00	.58	3.58	4.13	1.42	4.52	4.83	2.38	10.00	4.04
Xi_an	.38	.33	.29	.92	.00	.25	.50	3.00	2.79	2.54	3.70	5.67	1.21	5.46	8.63
